fas_id,course_code,department,semester,rating,hours_per_week,num_students,num_sections
108791,COMPLIT 193,COMPLIT,2023Spring,4.5,3.83,12,1
108799,TDM 118,TDM,2024Spring,5.0,5.2,8,1
108811,HISTSCI 2445,HISTSCI,2023Fall,3.4,7.2,8,1
108816,RSRA 298A,RSRA,2022Fall,5.0,4.0,9,1
108816,RSRA 298A,RSRA,2023Fall,4.5,3.5,9,1
108816,RSRA 298A,RSRA,2024Fall,4.57,4.0,9,1
108818,RSRA 299A,RSRA,2023Fall,4.6,3.8,9,1
108829,FRSEMR 27I,FYSEMR,2022Fall,4.1,1.38,12,1
108829,FYSEMR 27I,FYSEMR,2023Fall,4.36,2.07,16,1
108829,FYSEMR 27I,FYSEMR,2024Fall,4.14,2.23,15,1
108849,AAAS 124,AAAS,2023Fall,3.5,8.5,9,1
108859,AFVS 52,AFVS,2022Fall,4.0,6.0,10,1
108859,AFVS 52,AFVS,2023Fall,4.67,9.33,10,1
108859,AFVS 52,AFVS,2024Fall,4.5,5.83,11,1
108865,ANTHRO 1400,ANTHRO,2024Spring,4.9,3.22,21,3
108871,ENG-SCI 183,ENG-SCI,2024Spring,3.67,5.83,10,1
108871,ENG-SCI 183,ENG-SCI,2025Spring,4.57,5.43,15,1
108879,AFRAMER 119X,AFRAMER,2023Spring,4.45,2.98,73,1
108879,AFRAMER 119X,AFRAMER,2024Spring,4.63,2.93,42,1
108879,AFRAMER 119X,AFRAMER,2025Spring,4.71,3.25,35,1
108880,APPHY 50A,APPHY,2022Fall,3.53,8.64,107,1
108880,APPHY 50A,APPHY,2023Fall,3.36,11.21,98,2
108880,APPHY 50A,APPHY,2024Fall,3.63,11.33,65,3
108882,APPHY 50B,APPHY,2023Spring,3.48,9.55,140,3
108882,APPHY 50B,APPHY,2024Spring,3.38,9.78,159,3
108882,APPHY 50B,APPHY,2025Spring,2.99,10.35,111,3
108890,GENED 1134,GENED,2023Spring,3.94,5.32,46,1
108892,ECON 980X,ECON,2022Fall,4.25,5.36,12,1
108892,ECON 980X,ECON,2023Fall,4.75,5.92,15,1
108892,ECON 980X,ECON,2024Fall,4.92,6.08,15,1
108901,ECON 1010A,ECON,2022Fall,3.63,7.19,342,1
108901,ECON 1010A,ECON,2023Spring,3.63,7.8,74,1
108901,ECON 1010A,ECON,2023Fall,3.08,8.21,400,1
108901,ECON 1010A,ECON,2024Spring,3.63,7.73,112,1
108901,ECON 1010A,ECON,2024Fall,3.55,8.89,364,1
108901,ECON 1010A,ECON,2025Spring,3.84,7.48,67,1
108915,GOV 94GO,GOV,2022Fall,4.55,5.27,12,1
108949,ANTHRO 3628,ANTHRO,2024Spring,4.13,6.63,11,1
108950,GENED 1156,GENED,2024Spring,3.77,4.6,94,3
108969,E-PSCI 56,E-PSCI,2023Spring,4.25,2.21,25,2
108969,E-PSCI 56,E-PSCI,2024Spring,4.43,2.86,20,2
108969,E-PSCI 56,E-PSCI,2025Spring,4.17,4.33,15,2
108970,ARABIC 242BR,ARABIC,2023Spring,4.5,5.25,8,1
108971,ARABIC 242AR,ARABIC,2022Fall,4.2,4.6,6,1
108982,MUSIC 175R,MUSIC,2022Fall,4.71,4.0,10,1
108982,MUSIC 175R,MUSIC,2024Spring,4.29,5.57,7,1
108994,BBS 230,BBS,2024Fall,3.44,4.69,70,29
109073,MED-SCI 302QC,MED-SCI,2022Fall,3.52,1.22,93,12
109073,MED-SCI 302QC,MED-SCI,2023Fall,3.41,1.56,97,12
109073,MED-SCI 302QC,MED-SCI,2024Fall,3.33,1.06,118,2
109110,CHEM 145,CHEM,2024Fall,4.88,2.25,10,1
109230,MEDVLSTD 250,MEDVLSTD,2023Spring,4.8,4.67,12,1
109230,MEDVLSTD 250,MEDVLSTD,2025Spring,4.75,4.36,15,1
109231,E-PSCI 52,E-PSCI,2023Fall,4.83,4.67,8,1
109231,E-PSCI 52,E-PSCI,2024Fall,4.71,3.4,7,1
109263,HISTSCI 99B,HISTSCI,2023Spring,4.55,11.27,16,1
109263,HISTSCI 99B,HISTSCI,2024Spring,4.58,14.83,19,1
109263,HISTSCI 99B,HISTSCI,2025Spring,4.5,16.57,8,1
109272,ENG-SCI 95R,ENG-SCI,2022Fall,4.27,5.32,38,1
109272,ENG-SCI 95R,ENG-SCI,2023Spring,3.92,7.0,34,1
109272,ENG-SCI 95R,ENG-SCI,2023Fall,4.89,4.78,22,1
109272,ENG-SCI 95R,ENG-SCI,2024Spring,4.58,7.89,18,1
109272,ENG-SCI 95R,ENG-SCI,2024Fall,4.83,11.2,19,1
109272,ENG-SCI 95R,ENG-SCI,2025Spring,4.69,10.64,24,1
109274,PHYSCI 12A,PHYSCI,2023Spring,4.03,6.79,42,2
109274,PHYSCI 12A,PHYSCI,2024Spring,4.4,6.53,68,2
109274,PHYSCI 12A,PHYSCI,2025Spring,4.2,7.48,125,3
109282,ENG-SCI 229,ENG-SCI,2023Spring,4.1,9.5,15,1
109282,ENG-SCI 229,ENG-SCI,2025Spring,4.21,10.64,16,1
109305,GOV 94MS,GOV,2023Fall,4.89,4.56,14,1
109305,GOV 94MS,GOV,2024Fall,4.6,6.1,15,1
109308,MATH 290Z,MATH,2025Spring,4.89,13.38,26,1
109319,FRSEMR 23P,FRSEMR,2022Fall,4.5,1.4,12,1
109324,FRSEMR 30M,FRSEMR,2022Fall,4.78,2.44,13,1
109328,PHYSICS 254,PHYSICS,2023Spring,4.83,11.4,13,1
109339,APCOMP 298R,APCOMP,2022Fall,4.5,3.0,15,1
109339,APCOMP 298R,APCOMP,2023Spring,4.11,2.5,12,1
109339,APCOMP 298R,APCOMP,2023Fall,4.25,2.5,9,1
109339,APCOMP 298R,APCOMP,2024Fall,4.13,3.75,15,1
109341,ESE 169,ESE,2023Fall,4.73,3.07,18,1
109341,ESE 169,ESE,2024Fall,4.58,6.58,18,1
109342,PLSH CR,PLSH,2023Spring,5.0,5.6,5,1
109346,PHYSICS 223,PHYSICS,2023Fall,3.83,8.8,12,1
